version,total_rows,min_latency_ms,max_latency_ms,avg_latency_ms,p50,p95,p99
Spark 3.5,2069257,248,15997,7165.559304136702,6517,14746,15720
Spark 4.2,177021,228,1675,1051.8629032713634,1135,1633,1645
