elapsed_s,latency_s,msg_count,version
124,10.395396975390348,165509,Spark 4.2
125,9.386563743805201,221347,Spark 4.2
126,8.388621117912521,187045,Spark 4.2
127,7.462318501864629,74279,Spark 4.2
0,15.261365876638902,13797,Flink 1.16
1,13.672633483082032,20924,Flink 1.16
2,12.94414428868182,57281,Flink 1.16
3,11.98372133490502,104247,Flink 1.16
4,11.076283912084348,190006,Flink 1.16
5,10.003787916248447,167448,Flink 1.16
6,11.156795801340206,204732,Flink 1.16
7,10.321168568562356,196383,Flink 1.16
8,11.644274577271174,220590,Flink 1.16
9,10.606286041533595,213469,Flink 1.16
10,9.602500422960166,209239,Flink 1.16
11,8.636086718010352,158410,Flink 1.16
12,10.378008819305315,215890,Flink 1.16
13,11.141180229280025,287334,Flink 1.16
14,10.68519295066453,235086,Flink 1.16
15,9.704856451897172,238178,Flink 1.16
16,8.986082785833263,212633,Flink 1.16
17,10.6061879932237,172969,Flink 1.16
18,10.942341893062641,290936,Flink 1.16
19,10.560157795429651,267644,Flink 1.16
20,9.570156712233475,212217,Flink 1.16
21,10.861473935476996,202344,Flink 1.16
22,10.861020555399776,203061,Flink 1.16
23,11.620153961838305,191502,Flink 1.16
24,10.681256007481165,221349,Flink 1.16
25,9.671146577853902,248762,Flink 1.16
26,9.331007353757274,252252,Flink 1.16
27,10.110367602461965,256217,Flink 1.16
28,11.567766925646238,241202,Flink 1.16
29,10.576665475964411,200162,Flink 1.16
30,9.689839297151037,265434,Flink 1.16
31,9.269649247945996,295391,Flink 1.16
32,12.493480142252691,209767,Flink 1.16
33,12.807892988466998,191456,Flink 1.16
34,12.209031508527126,212260,Flink 1.16
35,11.234178683311725,211318,Flink 1.16
36,10.607272515426299,168218,Flink 1.16
37,11.403063727947517,271184,Flink 1.16
38,10.728334687603407,266072,Flink 1.16
39,10.692660776200949,253800,Flink 1.16
40,9.63427924722079,241399,Flink 1.16
41,8.98886717152464,225938,Flink 1.16
42,10.617009500564844,206093,Flink 1.16
